epoch,train_loss,train_acc,test_loss,test_acc,lr
1,1.5578995681381225,0.42944,1.2064951208114625,0.5604,0.001
2,1.1651714107894897,0.58248,0.9154544620513916,0.6738,0.001
3,1.0085016075134277,0.64246,0.8337127207756042,0.7002,0.001
4,0.9156743763542176,0.6759,0.7677937853813172,0.7267,0.001
5,0.8558399070930481,0.70042,0.7435939966201782,0.7343,0.001
6,0.8147811071968079,0.71504,0.6705095174789428,0.763,0.001
7,0.7852371893692016,0.72376,0.6634416959762574,0.7706,0.001
8,0.7572577653884888,0.73594,0.6554965672969818,0.7728,0.001
9,0.7334910362243653,0.74306,0.6347089514732361,0.7802,0.001
10,0.7183196855735778,0.74904,0.6135438294410706,0.7843,0.001
11,0.6981775918960571,0.75728,0.6079354156017304,0.7832,0.001
12,0.6769810349655151,0.76334,0.5887338718414307,0.7948,0.001
13,0.6674727656173706,0.76728,0.572835597038269,0.8,0.001
14,0.6565278873634338,0.77232,0.60443749294281,0.7965,0.001
15,0.6483970973587037,0.7761,0.5931281861782074,0.7938,0.001
16,0.6332463911819458,0.77818,0.5570964243412018,0.8093,0.001
17,0.6275298386573791,0.7809,0.5590798988342285,0.8061,0.001
18,0.6165678731918335,0.78812,0.5619430404663086,0.8061,0.001
19,0.611915220565796,0.78716,0.5769647889614106,0.8033,0.001
20,0.6061450060272217,0.78928,0.5333260249137879,0.8154,0.001
21,0.5922407522201538,0.79388,0.5295486351490021,0.8206,0.001
22,0.5853880986595154,0.79872,0.5313611897468566,0.8157,0.001
23,0.5855731460380554,0.79756,0.5358723639011383,0.8131,0.001
24,0.581533639793396,0.7985,0.5249989809989929,0.8178,0.001
25,0.5740430185127259,0.80076,0.507657495880127,0.8224,0.001
26,0.5685405033683777,0.80198,0.5219081195831299,0.8225,0.001
27,0.5704143030738831,0.80162,0.5237068309783935,0.8206,0.001
28,0.5564952639007569,0.80618,0.5323394562244416,0.8161,0.001
29,0.5580097922706604,0.8049,0.5062258779525757,0.8243,0.001
30,0.5493335014343261,0.80866,0.5487124547481537,0.8151,0.001
