epoch,train_loss,train_acc,test_loss,test_acc,lr
1,1.7404521548843384,0.35832,1.372106320953369,0.4985,0.022659259753081123
2,1.3025588082122803,0.5307,1.020737693977356,0.6389,0.02270202258822725
3,1.0814698620986938,0.61506,0.9111322895050049,0.6784,0.022744785423373378
4,0.9572464621734619,0.6623,0.7712450751304627,0.7326,0.022787548258519506
5,0.8794350991630554,0.69192,0.7877960287094116,0.7263,0.012455656266406387
6,0.7659989262008667,0.73168,0.6694134119987488,0.7683,0.012498419101552513
7,0.7262144005966187,0.74544,0.6406756106376648,0.7761,0.012541181936698639
8,0.7021993898391724,0.75514,0.6206176090240478,0.7886,0.012583944771844765
9,0.6786896210098267,0.76292,0.6053713339805603,0.7897,0.01262670760699089
10,0.6550409548568725,0.77094,0.5975622940063476,0.7967,0.012669470442137017
11,0.631684132013321,0.77954,0.5664121878623962,0.8013,0.012712233277283142
12,0.6131645133590699,0.78552,0.5806349358558655,0.799,0.006948496884521739
13,0.5619732665061951,0.80456,0.5371136826038361,0.8164,0.006991259719667866
14,0.5476907439041138,0.80854,0.5277482710361481,0.8206,0.0070340225548139925
15,0.5292837621879578,0.8154,0.5094331056118011,0.8251,0.007076785389960119
16,0.5215632691860199,0.81948,0.5040104234695435,0.8292,0.007119548225106246
17,0.5138160807991028,0.82124,0.5095833125114441,0.8282,0.0038915395573928444
18,0.47784950775146484,0.83408,0.4885895545959473,0.8356,0.003934302392538971
19,0.47091155181884764,0.83674,0.47303862013816833,0.8403,0.0039770652276850975
20,0.4587227029132843,0.84142,0.47532053084373477,0.838,0.0021738607797178273
21,0.438906240940094,0.84748,0.45576256647109986,0.8473,0.002216623614863954
22,0.4318168470001221,0.84938,0.45972736649513246,0.8425,0.0012116047547336432
23,0.41769870469093323,0.85516,0.4457885206699371,0.8468,0.00125436758987977
24,0.4180394976425171,0.85436,0.44446077103614806,0.8479,0.0012971304250258967
25,0.4163297188568115,0.85558,0.44363168077468873,0.8494,0.0013398932601720235
26,0.41081925409317016,0.85682,0.4451563907623291,0.8498,0.0007323846204533123
27,0.4018058891582489,0.85976,0.44002314357757566,0.8519,0.0007751474555994389
28,0.4033390901851654,0.86062,0.44023469986915587,0.8505,0.00042369500014625077
29,0.3942125880241394,0.8631,0.43557138633728026,0.8526,0.00046645783529237746
30,0.395971429605484,0.86428,0.4364114381790161,0.8512,0.00025496549226183997
