epoch,train_loss,train_acc,test_loss,test_acc,lr
1,1.8370830773162843,0.32404,1.4641781661987305,0.471,0.01
2,1.487079766921997,0.45406,1.2384100805282592,0.554,0.01
3,1.2903010931015015,0.532,1.04865336894989,0.6294,0.01
4,1.1261772493362427,0.5987,0.9140194065093994,0.6839,0.01
5,1.0117860380363464,0.64206,0.8404425409317017,0.7069,0.01
6,0.9314805881881714,0.67108,0.7969902421951294,0.7167,0.01
7,0.8706104571151734,0.69426,0.7691308492660522,0.7312,0.01
8,0.8258264526367187,0.71032,0.8052934964179993,0.7247,0.01
9,0.785621590385437,0.72538,0.6973922227859497,0.7582,0.01
10,0.7451879581832885,0.74076,0.6413538519382477,0.7793,0.01
11,0.7168460412025451,0.74932,0.6283837205886841,0.7798,0.01
12,0.6939995878601074,0.75856,0.6050886599063874,0.791,0.01
13,0.6667319572067261,0.76684,0.5854467589378357,0.7934,0.01
14,0.6524274292373657,0.77292,0.5817424489974976,0.7969,0.01
15,0.6273776762962341,0.783,0.5871078754425049,0.7963,0.01
16,0.6169278769302368,0.78414,0.579719913816452,0.796,0.01
17,0.5971866852378845,0.78912,0.5590143609046936,0.8055,0.01
18,0.5831801770401001,0.79588,0.5389021216392517,0.8139,0.01
19,0.5670084466171265,0.80296,0.5307200172901153,0.8179,0.01
20,0.5620977921676635,0.80516,0.5190683505058289,0.8198,0.01
21,0.5458394243049621,0.8093,0.5126375205039978,0.8235,0.01
22,0.5327468082809448,0.81502,0.5167384743213653,0.8216,0.01
23,0.5244889888668061,0.81612,0.4989883578777313,0.8299,0.01
24,0.5161489209842682,0.81976,0.5327579727172852,0.8198,0.01
25,0.5092515239334107,0.82206,0.5001406210422515,0.8277,0.01
26,0.4937906597995758,0.82748,0.5034347472190857,0.8295,0.01
27,0.4869361452293396,0.82978,0.49187286190986634,0.8283,0.01
28,0.483339877614975,0.83236,0.4775785054206848,0.8359,0.01
29,0.47226446276664735,0.83532,0.48500545864105227,0.8321,0.01
30,0.46989836508750915,0.8357,0.46915482873916625,0.8379,0.01
